estado;alta;ruc;cliente;ubigeo;direccion;tamaño;actividad;ms_us;latitud;longitud
Vigente;29/11/2025;20420310383;MINERA DEISI S.A.C.;Lima Lima San Isidro;AVENIDA JOSE GALVEZ BARRENECHEA 592 URBANIZACION CORPAC (SAN ISIDRO, LIMA, LIMA);Mediana Empresa;CORTE TALLA Y ACABADO DE LA PIEDRA;US;-12.09838249;-77.01294256
Vigente;2/12/2025;20607278734;OZEL SUPPLY E.I.R.L. . .;CALLAO CALLAO CARMEN DE LA LEGUA REYNOSO;AVENIDA REPUBLICA DE ARGENTINA 4862 (CARMEN DE LA LEGUA REYNOSO, CALLAO, CALLAO);ND;"ELABORACION DE BEBIDAS NO ALCOHOLICAS; PRODUCCION DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS";US;-12.04837574;-77.09588168
Vigente;1/12/2025;20606151650;PANTO GROUP S.A.C.;Lima Lima San Isidro;AVENIDA FELIPE PARDO Y ALIAGA 640   (SAN ISIDRO, LIMA, LIMA)EDIFICIO PARDO Y ALIAGA 640 TORRE 1  PISO 12  DPTO/INTERIOR 1202;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.1064905;-77.03870787
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450   (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;US;-11.9397196;-77.06727406
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450   (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;US;-11.9397196;-77.06727406
Vigente;1/12/2025;20552998112;TERABYTE SOLUCIONES S.A.C.;Lima Lima Santiago de Surco;CALLE MONTE REAL 422 URBANIZACION CHACARILLA DEL ESTANQUE (SANTIAGO DE SURCO, LIMA, LIMA);Micro Empresa;VENTA AL POR MENOR DE ORDENADORES EQUIPO PERIFERICO PROGRAMA DE INFORMATICA Y EQUIPO DE TELECOMUNICION EN COMERCIOS ESPECIALIZADOS;US;-12.11175652;-76.98519906
Vigente;2/12/2025;20613160869;BARRANCOBAR S.A.C.;Lima Lima Barranco;PLAZA BUTTER 291 URB PLAZ BUTTER (BARRANCO, LIMA, LIMA);Micro Empresa;ACTIVIDADES CREATIVAS ARTISTICAS Y DE ENTRETENIMIENTO;US;-12.14320063;-77.01573732
Vigente;10/12/2025;20602850995;CORPORATE INVESTMENT GROUP AND SERVICE S.A.C.;Lima Lima San Isidro;AV. JAVIER PRADO ESTE NRO. 175 DPTO. 901 URB. FUNDO CONDE DE SAN ISIDRO LIMA - LIMA - SAN ISIDROEDIFICIO TEKTON TORRE 1  PISO 9  DPTO/INTERIOR 901;Micro Empresa;OTRAS ACTIVIDADES DE TELECOMUNICACIONES;US;-12.092;-77.032539
Vigente;2/12/2025;20602124224;OJOS LASER OPHTHALMIC S.A.C.;Lima Lima Santiago de Surco;CALLE LAS PALMAS 173 URBANIZACION LOS ALERCES DE MONTERRICO (SANTIAGO DE SURCO, LIMA, LIMA);Micro Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;US;-12.11493547;-76.97509215
Vigente;3/12/2025;20537677539;SERENDIPIA S.A.C.;Lima Lima Miraflores;AVENIDA DEL EJERCITO  385 SANTA CRUZ (MIRAFLORES, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.116961;-77.044987
Vigente;3/12/2025;20537677539;SERENDIPIA S.A.C.;Lima Lima San Isidro;CALLE MIGUEL DASSO 126 SANTA ISABEL (SAN ISIDRO, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.106267;-77.040585
Vigente;2/12/2025;20515104454;PERU CONCEPT SOCIEDAD ANONIMA CERRADA PERU CONCEPT SAC;Lima Lima Miraflores;AV. ATAHUALPA NRO. 690 (ENTRE ANGAMOS Y AREQUIPA HACIA MIRAF.) LIMA - LIMA - MIRAFLORES;Micro Empresa;VENTA AL POR MENOR DE PRENDAS DE VESTIR CALZADO Y ARTICULOS DE CUERO EN COMERCIOS ESPECIALIZADOS;MS;-12.11283;-77.031212
Vigente;2/12/2025;20515104454;PERU CONCEPT SOCIEDAD ANONIMA CERRADA PERU CONCEPT SAC;Lima Lima Miraflores;AVENIDA MARISCAL RAMON CASTILLA 374 URBANIZACION AURORA (MIRAFLORES, LIMA, LIMA);Micro Empresa;VENTA AL POR MENOR DE PRENDAS DE VESTIR CALZADO Y ARTICULOS DE CUERO EN COMERCIOS ESPECIALIZADOS;MS;-12.122345;-77.014974
Vigente;6/12/2025;20604425698;ACADEMIA LATINOAMERICANA DE MEDICINA Y CIRUGAA ESTA?TICA E.I.R.L.;Lima Lima Santiago de Surco;AV. MANUEL OLGUIN NRO. 325 - PISO: 5, OF: 507 URB. LOS GRANADOS - SANTIAGO DE SURCOEDIFICIO OLGUIN PLUS TORRE .  PISO 5  DPTO/INTERIOR 507;Micro Empresa;OTRAS ACTIVIDADES PROFESIONALES CIENTIFICAS Y TECNICAS NO CLASIFICADOS PREVIAMENTE;US;-12.08801992;-76.97304
Vigente;2/12/2025;20516014912;YOPLAC ASOCIADOS SAC;LIMA LIMA LIMA;JIRON SANTA SUSANA 232 URBANIZACION PANDO ETAPA 3 (LIMA, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA;MS;-12.06532062;-77.0735092
Vigente;3/12/2025;20601875200;SOLUCIONES DE ALMACENAMIENTO TRIPLE A SOCIEDAD ANONIMA CERRADA;Lima Lima Ate;AV. LOS QUECHUAS NRO. 1347 DPTO. 401 URB. PARQUE DE MONTERRICO LIMA - LIMA - ATE;Micro Empresa;FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL;US;-12.07538788;-76.97739869
Vigente;3/12/2025;20611412437;VAPOR CLUB GLOBAL E.I.R.L.;Lima Lima San Isidro;AVENIDA JORGE BASADRE GROHMANN 265   (SAN ISIDRO, LIMA, LIMA);Pequeña Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;US;-12.09344702;-77.03460605
Vigente;3/12/2025;20611412437;VAPOR CLUB GLOBAL E.I.R.L.;Lima Lima Pueblo Libre;AVENIDA GENERAL MANUEL IGNACIO DE VIVANCO 417   (PUEBLO LIBRE, LIMA, LIMA);Pequeña Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;MS;-12.07963869;-77.059832
Vigente;5/12/2025;20509654817;KAIZEN SHI EIRL;Lima Lima La Victoria;JIRON JOSE RODOLFO DEL CAMPO 315 URBANIZACION MEXICO (LA VICTORIA, LIMA, LIMA);Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-12.07419139;-77.01308016
Vigente;6/12/2025;20555016451;FLAT AREQUIPA SOCIEDAD ANONIMA CERRADA;Lima Lima Lince;AV. ARENALES NRO. 1912 DPTO. 1403 URB. FUNDO LOBATON (ENTRE AV. CANEVARO) LIMA - LIMA - LINCEEDIFICIO FLAT BEEHIVE I TORRE 1  PISO 14  DPTO/INTERIOR 1403;Mediana Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;US;-12.08392466;-77.03584735
Vigente;1/12/2025;20547612796;CLINICA DENTAL ALEMANA S.A.C.;Lima Lima Santiago de Surco;AVENIDA CAMINOS DEL INCA 1163 URBANIZACION LAS GARDENIAS ETAPA 4 (SANTIAGO DE SURCO, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.12196936;-76.98661382
Vigente;28/11/2025;20614355221;RED GASTRONOMICA S.A.C.;Lima Lima Surquillo;JR. NARCISO DE LA COLINA NRO. 718 LIMA - LIMA - SURQUILLO;Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.11839141;-77.02340227
Vigente;2/12/2025;20100765790;REPUESTOS FREDDY S.A.C.;Lima Lima La Victoria;AV. IQUITOS NRO. 152- LA VICTORIA;Pequeña Empresa;VENTA DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES;US;-12.0601163;-77.0315162
Vigente;28/11/2025;10061408601;QUINTE MENDOZA LUIS JOSE;Lima Lima San Juan de Miraflores;AV. DE LOS HEROES NRO. 451 INT. A OTR. CIUDADAD DE DIOS ZN. A LIMA - LIMA - SAN JUAN DE MIRAFLORES;ND;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;MS;-12.15319625;-76.9731009
Vigente;27/11/2025;20611715022;TOP CITY E.I.R.L. . .;Lima Lima Villa El Salvador;PARQUE INDUSTRIAL PARCELA 2 MZ C LT 5(VILLA EL SALVADOR, LIMA, LIMA);Micro Empresa;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS;MS;-12.195185;-76.9367
Vigente;3/12/2025;20398079125;CENTRO DE APOYO AL DIAGNOSTICO DR. BERLY MANRIQUE UGARTE S.A.C.;LA LIBERTAD TRUJILLO VICTOR LARCO HERRERA;CALLE EL PALMAR 391 EL CORTIJO (VICTOR LARCO HERRERA, TRUJILLO, LA LIBERTAD);Mediana Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-8.141208639;-79.03724313
Vigente;28/11/2025;20613034952;ZOOMA INMOBILIARIA S.A.C.;Lima Lima Santiago de Surco;AVENIDA LA ENCALADA 1257- (SANTIAGO DE SURCO, LIMA, LIMA)EDIFICIO LA ENCALADA 1257 TORRE 1  PISO 5  DPTO/INTERIOR 503;Mediana Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;US;-12.10429834;-76.97072025
Vigente;1/12/2025;20343015811;ESTUD.JURIDICO ANDRES COELLO Y ASOC. SAC;Lima Lima Miraflores;CALLE DOMINGO ORUE 521 URBANIZACION BARBONCITO (MIRAFLORES, LIMA, LIMA);Micro Empresa;ACTIVIDADES JURIDICAS;US;-12.10880941;-77.02733542
Vigente;29/11/2025;20607450642;BIOCENTER NATURAL S.A.C.;Lima Lima Los Olivos;CALLE CATAC 622 URB PARQUE DEL NARANJAL ETAPA 1 - LOS OLIVOS - LIMA- LIMA;Pequeña Empresa;VENTA AL POR MAYOR DE ALIMENTOS BEBIDAS Y TABACO;US;-11.97693414;-77.07068928
Vigente;1/12/2025;20601288100;LABMED LABORATORIO CLINICO ESPECIALIZADO S.A.C.;LAMBAYEQUE CHICLAYO CHICLAYO;AVENIDA SANTA VICTORIA 340 SANTA VICTORIA (CHICLAYO, CHICLAYO, LAMBAYEQUE);Pequeña Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-6.779767642;-79.84259248
Vigente;2/12/2025;20550821207;PERUVIAN SURGERY E.I.R.L.;Lima Lima Miraflores;AVENIDA ALFREDO BENAVIDES 2975 URBANIZACION ALEXANDER VON HUMBOLDT (MIRAFLORES, LIMA, LIMA)EDIFICIO SQUARE BOUTIQUE TORRE 1  PISO 1  DPTO/INTERIOR 101;Micro Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;US;-12.12829781;-77.00426482
Vigente;2/12/2025;20600671872;ROMA LOGISTICA E.I.R.L.;Lima Lima Breña;JIRON LORETO 1730 SAN GREGORIO (BREÑA, LIMA, LIMA);Micro Empresa;ACTIVIDADES POSTALES;US;-12.06572667;-77.05392559
Vigente;1/12/2025;20398079125;CENTRO DE APOYO AL DIAGNOSTICO DR. BERLY MANRIQUE UGARTE S.A.C.;LA LIBERTAD TRUJILLO TRUJILLO;CALLE LOS ZAFIROS 230 BARRIO MEDICO MZ B LT 10 (TRUJILLO, TRUJILLO, LA LIBERTAD);Mediana Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-8.103057;-79.036288
Vigente;2/12/2025;20565971825;CONSUMIBLES INDUSTRIALES S.A.C.;Lima Lima San Luis;AV. DEL AIRE NRO 1661 PISO 0 DPTO 0 MZ. 0 LT. 0 OTRO - BARRIO -, SAN LUIS, LIMA, LIMA;Micro Empresa;OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS;US;-12.074639;-76.992696
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450 URB. SANTA LUZMILA  (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;MS;-11.9397196;-77.06727406
Vigente;29/11/2025;20600023501;BUSINESS COMMERCE GROUP S.A.C.;Lima Lima San Isidro;CALLE CHINCHON 884 - 886 PISO 2 OFICINA G URBANIZACION JARDIN (SAN ISIDRO, LIMA, LIMA);ND;PUBLICIDAD;US;-12.09558257;-77.02740906
Vigente;1/12/2025;20604940886;KAFKA COMUNICACIONES Y CONTENIDO S.A.C.;Lima Lima San Borja;JR. ENRIQUE OLIVEROS NRO 257 OF . MZ. . LT. . ASOC. . BARRIO ., SAN BORJA, LIMA, LIMA;Pequeña Empresa;PUBLICIDAD;US;-12.08303667;-76.98668847
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450   (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;MS;-11.9397196;-77.06727406
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450   (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;MS;-11.9397196;-77.06727406
Vigente;1/12/2025;20504868428;COMPLEJO COMERCIAL Y RESIDENCIAL UNICACHI S.A.;Lima Lima Comas;AVENIDA METROPOLITANA 2450   (COMAS, LIMA, LIMA);Mediana Empresa;ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA;MS;-11.9397196;-77.06727406
Vigente;1/12/2025;20398079125;CENTRO DE APOYO AL DIAGNOSTICO DR. BERLY MANRIQUE UGARTE S.A.C.;LA LIBERTAD TRUJILLO TRUJILLO;AV. VICTOR LARCO NRO. 1018 URB. SAN ANDRES III ETAPA LA LIBERTAD - TRUJILLO - TRUJILLO;Mediana Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-8.123174266;-79.0378654
Vigente;29/11/2025;20398079125;CENTRO DE APOYO AL DIAGNOSTICO DR. BERLY MANRIQUE UGARTE S.A.C.;LA LIBERTAD TRUJILLO TRUJILLO;AV. BLAS PASCAL NRO. 159 URB. LA NORIA LA LIBERTAD - TRUJILLO - TRUJILLO;Mediana Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-8.103344016;-79.01031374
Vigente;28/11/2025;20604223980;ECOHABITAT DESARROLLO INMOBILIARIO S.A.C. ECOHABITAT S.A.C.;Lima Lima Miraflores;CAL.CMDTE JUAN FANNING NRO. 561 URB. MIRAFLORES LIMA - LIMA - MIRAFLORES;Pequeña Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;US;-12.13009983;-77.02865487
Vigente;29/11/2025;20398079125;CENTRO DE APOYO AL DIAGNOSTICO DR. BERLY MANRIQUE UGARTE S.A.C.;LA LIBERTAD TRUJILLO VICTOR LARCO HERRERA;CAL.SIMON BOLIVAR NRO. 277 URB. VISTA ALEGRE LA LIBERTAD - TRUJILLO - VICTOR LARCO HERRERA;Mediana Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-8.138192346;-79.04846549
Vigente;29/11/2025;20604385581;TEGESTIONA 247 E.I.R.L.;Lima Lima Miraflores;CALLE INDEPENDENCIA NRO. 279 URB. SURQUILLO  (MIRAFLORES, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;US;-12.11719092;-77.03255628
Vigente;29/11/2025;20565366719;AGRORUM SOCIEDAD ANONIMA CERRADA AGRORUM S.A.C.;Lima Lima La Victoria;CALLE ENRIQUE ENCINAS NRO. 284 DPTO. P 3 INT. P 3 URB. SANTA CATALINA (ENTRE AV AVIACION Y AV DEL AIRE) LIMA - LIMA - LA VICTORIA;Pequeña Empresa;ENSAYOS Y ANALISIS TECNICOS;US;-12.08215945;-77.00613499
Vigente;4/12/2025;20543139778;MONTE VERDE INVERSIONES PERU SAC;Lima Lima San Isidro;AV. RICARDO RIVERA NAVARRETE NRO. 570 URB. JARDIN (SAN ISIDRO, LIMA, LIMA)EDIFICIO RIVERA NAVARRETE 548 TORRE 1  PISO 1  DPTO/INTERIOR 1;Mediana Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.09299721;-77.02690334
Vigente;4/12/2025;20498280634;MACOOR DISTRIBUCIONES S.A.C.;AREQUIPA AREQUIPA CERRO COLORADO;CAL.HUASCAR MZA. H14 LOTE. 5 SEMI RURAL PACHACUTEC (GRUPO 24-PARALELA RICO POLLO) AREQUIPA - AREQUIPA - CERRO COLORADO;Mediana Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-16.3934782;-71.578889
Vigente;1/12/2025;20546934862;INVERSIONES YU S 2 S.A.C.;LIMA LIMA JESUS MARIA;CALLE NATALIO SANCHEZ 221 URBANIZACION SANTA BEATRIZ (JESUS MARIA, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;US;-12.07052737;-77.03797772
Vigente;28/11/2025;20609446863;GLOBAL CAR PIURA S.A.C.;Piura Piura Piura;CAL.LOS CEIBOS -MZ M LTE 13 NRO. 320 URB. SANTA ISABEL PIURA - PIURA - PIURA;Micro Empresa;OTROS TIPOS DE ENSEÑANZA NO CLASIFICADOS PREVIAMENTE;US;-5.185155;-80.631006
Vigente;28/11/2025;20609613247;AEROCENTRO PERU S.A.C.;Lima Lima Chorrillos;CALLE CONSTELACION AUSTRAL 129 SANTA ROSA DE SURCO ETAPA 2 (CHORRILLOS, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE AEREO;US;-12.17361619;-76.99124706
Vigente;29/11/2025;20614561603;CORPORACION XODO E.I.R.L.;LIMA LIMA SAN MARTIN DE PORRES;AVENIDA SAN DIEGO DE ALCALA 609 SAN DIEGO ETAPA 2 MZ M LT 1 (SAN MARTIN DE PORRES, LIMA, LIMA);ND;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-11.94365073;-77.08943367
Vigente;28/11/2025;20606447541;SERVICIOS Y REPRESENTACIONES APJ SOCIEDA ANONIMA CERRADA;Lima Lima Santa Anita;CAL.LAS PERDICES NRO. 372 URB. SANTA ANITA SECT. UNO LIMA - LIMA - SANTA ANITA;Micro Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;MS;-12.05228;-76.964707
Vigente;28/11/2025;20606447541;SERVICIOS Y REPRESENTACIONES APJ SOCIEDA ANONIMA CERRADA;Lima Lima Santa Anita;CALLE LAS PERDICES 289 SANTA ANITA (SANTA ANITA, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;MS;-12.053034;-76.964936
Vigente;28/11/2025;20606447541;SERVICIOS Y REPRESENTACIONES APJ SOCIEDA ANONIMA CERRADA;Lima Lima Santa Anita;CAL.LOS FLAMENCOS NRO. 529 URB. SANTA ANITA LIMA - LIMA - SANTA ANITA;Micro Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;MS;-12.050653;-76.965226
Vigente;28/11/2025;20600645677;ENFOQUE CLIENTE S.A.C;Lima Lima Comas;AV. METROPOLITANA NRO. 300 URB. CARABAYLLO ETAPA UNO (COMAS, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE ARQUITECTURA E INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA;US;-11.97247378;-77.05981515
Vigente;28/11/2025;20606447541;SERVICIOS Y REPRESENTACIONES APJ SOCIEDA ANONIMA CERRADA;Lima Lima La Molina;CALLE BARLOVENTO 265 EL SOL DE LA MOLINA ETAPA 3 (LA MOLINA, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;MS;-12.084761;-76.896862
Vigente;28/11/2025;20558076128;POLICLINICO DE LA SALUD Y MEDICINA LABORAL S.A.C.;AREQUIPA AREQUIPA AREQUIPA;CAL.JUANA ESPINOZA NRO. 317 URB. MAGISTERIAL 1 AREQUIPA - AREQUIPA - AREQUIPA;Pequeña Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;US;-16.39859359;-71.54791474
Vigente;27/11/2025;20610059407;SUPERMERCADOS HOLI S.A.C.;LIMA LIMA LIMA;AVENIDA DU PETIT THOUARS 1261 URBANIZACION SANTA BEATRIZ (LIMA, LIMA, LIMA);Mediana Empresa;VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS;MS;-12.07700756;-77.03436923
Vigente;27/11/2025;20493093097;INVERSIONES KATHERINE MALLA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;Lima Lima Santiago de Surco;AVENIDA ALFREDO BENAVIDES 4828 PROLONGACION BENAVIDES ETAPA 1 (SANTIAGO DE SURCO, LIMA, LIMA)EDIFICIO BUSINESS CENTER TORRE 1  PISO 2  DPTO/INTERIOR 201;Micro Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.128015;-76.98722
Vigente;6/12/2025;20614355221;RED GASTRONOMICA S.A.C.;LIMA LIMA JESUS MARIA;AV. GIUSEPPE GARIBALDI NRO. 312B LIMA - LIMA - JESUS MARIA;Pequeña Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.08344606;-77.05073279
Vigente;28/11/2025;20605169563;ALMA FOODS S.A.C.;Lima Lima Santiago de Surco;AVENIDA CAMINO REAL 1801 URBANIZACION PARQUE INDUSTRIAL SAN PEDRITO (SANTIAGO DE SURCO, LIMA, LIMA);Pequeña Empresa;ELABORACION DE PRODUCTOS DE PANADERIA;US;-12.14818741;-77.01149651
Vigente;28/11/2025;20305853641;ALIAGA BALUIS S.A.C.;Lima Lima San Juan de Miraflores;MZ F LT 23 PS 1 URB MAGISTRAL AMAUTA (SAN JUAN DE MIRAFLORES, LIMA, LIMA);Pequeña Empresa;OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS Y DE INSTALACIONES INDUSTRIALES;US;-12.161289;-76.981661
Vigente;28/11/2025;20611576880;COMARCA INMOBILIARIA S.A.C.;Lima Lima La Molina;CALLE LAS CAMELIAS 380 URBANIZACION CAMACHO (LA MOLINA, LIMA, LIMA);Micro Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;US;-12.077124;-76.96569604
Vigente;27/11/2025;20610208721;GRUPO BRIHA E.I.R.L.;Lima Lima Santa Anita;AVENIDA LOS VIRREYES MZ I LT 15 (SANTA ANITA, LIMA, LIMA);Pequeña Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;MS;-12.03322414;-76.9504845
Vigente;29/11/2025;20611575891;GRUPO BRIHA SAN MARTIN DE PORRES E.I.R.L.;LIMA LIMA SAN MARTIN DE PORRES;AVENIDA CARLOS IZAGUIRRE SAGRADO CORAZON DE JESUS MZ B LT 22 (SAN MARTIN DE PORRES, LIMA, LIMA);Pequeña Empresa;OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS;MS;-11.99033431;-77.0929216
Vigente;28/11/2025;20508669632;G.D.S. DEL PERU SOCIEDAD ANONIMA CERRADA;LIMA LIMA SAN MARTIN DE PORRES;AV. PERU NRO. 3853 INT. 201 URB. PERU LIMA - LIMA - SAN MARTIN DE PORRES;Pequeña Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;US;-12.0310323;-77.0908837
Vigente;29/11/2025;10065958011;RIQUELME CORREA ORLANDO MARTIN;LIMA LIMA SAN MARTIN DE PORRES;AVENIDA PERU 3873 PERU ZONA 4 (SAN MARTIN DE PORRES, LIMA, LIMA);ND;ACTIVIDADES DE ATENCION DE ENFERMERIA EN INSTITUCIONES;US;-12.030826;-77.091221
Vigente;1/12/2025;20549287850;EMPRESAS JOAQUIN CALMET SOCIEDAD ANONIMA CERRADA EMJOCAL S.A.C.;Lima Lima Ate;CAL.BRUSELAS NRO. 203 URB. LOS PORTALES DE JAV PRADO LIMA - LIMA - ATE;Micro Empresa;ACTIVIDADES DE CONSULTORIA DE GESTION;MS;-12.044504;-76.93702
Vigente;29/11/2025;20612770167;PBV INGENIERIA ESPECIALIZADA EN PUENTES Y TRANSPORTES ESPECIALES E.I.R.L.;Lima Lima San Miguel;CALLE JUANA MANRIQUE DE LUNA 130 PANDO ETAPA 2 (SAN MIGUEL, LIMA, LIMA);Micro Empresa;CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL;US;-12.081183;-77.086186
Vigente;1/12/2025;20601125537;GLAMOUR BELLEZA PERU S.A.C.;Lima Lima Miraflores;AVENIDA ANGAMOS OESTE 600 URBANIZACION AMERICA (MIRAFLORES, LIMA, LIMA)EDIFICIO CENTRO EMPRESARIAL ANGAMOS 600 TORRE 1  PISO 7  DPTO/INTERIOR 701;Micro Empresa;PELUQUERIA Y OTROS TRATAMIENTOS DE BELLEZA;US;-12.11381615;-77.03500808
Vigente;26/11/2025;20609118343;RENACER SALUD Y BELLEZA S.A.C.;Lima Lima Lince;AVENIDA GENERAL ANTONIO ALVAREZ DE ARENALES 1912   (LINCE, LIMA, LIMA)EDIFICIO FLAT BEEHIVE I TORRE 1  PISO 10  DPTO/INTERIOR 1001;Micro Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.08392466;-77.03584735
Vigente;25/11/2025;20606067691;PORTERO SEGURO S.A.C;LIMA LIMA JESUS MARIA;AV. GRAL. EUGENIO GARZÓN 2160, JESÚS MARÍA;Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.08106047;-77.05715081
Vigente;26/11/2025;20137464439;MULTIDENT S.R.LTDA. . .;Lima Lima Barranco;JIRON MEDRANO SILVA 401 LA VIÑITA (BARRANCO, LIMA, LIMA);Pequeña Empresa;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.134925;-77.020032
